file_id,lyrics
11,"Everyone tells me, save your money, think about tomorrow, not the world. But I only see today, I live in the now. I buy myself dreams that no one can replace.

Sirens of accounts and savings plans. But I want to dance, not count numbers. Life is short, why wait? I'm spending it on launching rockets.

[Chorus] I'm spending it, I'm spending it. For life, not for a house. [Catatan: Audio terdengar seperti ""Haus"" atau ""Maus"" (slang uang)] No piggy bank can hold me back. I'm spending it, I'm spending it.

They say you'll regret it later. But I want to scatter my days. No tomorrow interests me, only the joy that explodes today.

Laughter, travel, stargazing. Money is paper, let it blow away. I do my thing, you stay here. I follow the rush, not the greed.

[Chorus] I'm spending it, I'm spending it. For the Life, not for a house. No piggy bank can stop me. I'm spending it, I'm spending it."
12,"I think you murder my feelings I think you hurt me for no reason Stab me in the back and then you leave then You say you love me but you don't mean it I think you murder my feelings I think you hurt me for no reason Stab me in the back and then you leave then You say you love me but you don't mean it

I gave you my heart and you broke it I gave you my trust and you stole it I gave you my love and you froze it You acted like you didn't know it You played me like a game, controller You ran me over like a stroller You treat me like I'm a loner But I'm a soldier, I'm a soldier

I'm crying in my room Thinking about you And what we used to do But now we are through I'm crying in my room Thinking about you And what we used to do But now we are through

I think you murder my feelings I think you hurt me for no reason Stab me in the back and then you leave then You say you love me but you don't mean it I think you murder my feelings I think you hurt me for no reason Stab me in the back and then you leave then You say you love me but you don't mean it

(You say you love me but you don't mean it) (You say you love me but you don't mean it)"
13,"I'm not gonna lie I was gonna call you tonight Burnin' up inside Thinkin' about the time That you were mine

I'm not gonna lie I was gonna drive to your house Burnin' out the lights Sleepin' on the couch Until you found me

'Cause I remember how you tasted I remember how you felt I remember how you looked at me When you took off my belt I remember how we wasted Every moment that we dealt I remember how you looked at me When I began to melt

And now I'm covered in these tattoos And I'll never get them off 'Cause they remind me of you And who we were when we were lost Yeah, now I'm covered in these tattoos And I'll never get them off 'Cause they remind me of you And everything we lost

Covered in these tattoos Covered in these tattoos Covered in these tattoos Covered in these tattoos

I'm not gonna lie I was gonna call you tonight (Call you tonight) Burnin' up inside Thinkin' about the time That you were mine (That you were mine)

'Cause I remember how you tasted I remember how you felt I remember how you looked at me When you took off my belt I remember how we wasted Every moment that we dealt I remember how you looked at me When I began to melt

And now I'm covered in these tattoos And I'll never get them off 'Cause they remind me of you And who we were when we were lost Yeah, now I'm covered in these tattoos And I'll never get them off 'Cause they remind me of you And everything we lost

Covered in these tattoos Covered in these tattoos Covered in these tattoos Covered in these tattoos"
14,"Sick of the nightmare Sick of the flashbacks Sick of the enemy that's staring from the looking glass Sick of the silence Sick of the violence Sick of the war inside my head that keeps on rioting

I've been faking a smile For a long, long time Damn, it's been a while Since I felt fine

I'm not okay And it's about time I said it I'm not okay I'm not afraid to admit it I'm not okay And I'm not gonna lie no more I'm not gonna hide no more I'm not okay (And that's okay)

Sick of the pressure Sick of the expectations Sick of the way I feel like I need a vacation From my own mind From my own life From the person that I've become in everybody's eyes

I've been faking a smile For a long, long time Damn, it's been a while Since I felt fine

I'm not okay And it's about time I said it I'm not okay I'm not afraid to admit it I'm not okay And I'm not gonna lie no more I'm not gonna hide no more I'm not okay

Take a breath Take a look in the mirror It's okay to not be okay It's okay to not be okay Take a breath Take a look in the mirror It's okay to not be okay It's okay to be...

I'm not okay And it's about time I said it I'm not okay I'm not afraid to admit it I'm not okay And I'm not gonna lie no more I'm not gonna hide no more I'm not okay (And that's okay)

I'm not okay No, I'm not okay I'm not okay"
15,"Talk is cheap and I've been sold A lie that's worth its weight in gold I think I've lost my mind Tracing back the lines Of every time I let you in And let you break me down again I think I've had enough I'm calling out your bluff

And I know, and I know, and I know That you're never gonna change And I know, and I know, and I know That you'll always stay the same

'Cause you were everything, everything to me But now you're dead to me, dead to me I gave you everything, everything I had But you just treated me bad, treated me bad So go and say what you want 'Cause I am done with you Yeah, you were everything, everything to me But now you're dead to me

(Dead to me) (Dead to me)

I remember when we used to be So inseparable, you and me But that was just a dream Or so it seems 'Cause now I see the real you And everything you put me through The mask is falling off And I'm the one who's lost

And I know, and I know, and I know That you're never gonna change And I know, and I know, and I know That you'll always stay the same

'Cause you were everything, everything to me But now you're dead to me, dead to me I gave you everything, everything I had But you just treated me bad, treated me bad So go and say what you want 'Cause I am done with you Yeah, you were everything, everything to me But now you're dead to me

You're dead to me! You're dead to me!

I gave you everything! And you meant everything! But now you're nothing! You're nothing to me!

'Cause you were everything, everything to me But now you're dead to me, dead to me I gave you everything, everything I had But you just treated me bad, treated me bad So go and say what you want 'Cause I am done with you Yeah, you were everything, everything to me But now you're dead to me"
16,"This may be the last sunset I'll see So I'll take it in, I'll take it in This may be the last air that I'll breathe I'll breathe it in, I'll breathe it in I heard that pictures don't change Just the people inside of 'em do Whoever told you that life would be easy I promise that person was lyin' to you You got a problem with followin' through That's why I got a problem with followin' you You keep lookin' at me like this problem is new But we've been here before, what you tryin' to do? Don't talk to me like I don't know what you feeling 'Cause I was there with you back in the beginning Quit looking away when I talk, let me finish I'm tryna be honest, you're tryna forget me, ugh What's wrong with you, hey? I know that you got a lot on your plate You keep telling me I should get out of your way But I can't see how you gon' lie to my face Don't tell me you fine 'cause I know that you not so don't even try And what we gon' live for in this life full of pain 'Til we're eighty and one day we'll get up and say we regretted our lives That's where we going Do not pretend like you don't even notice Funny thing is that you already know it I'm starting to think that you like how I feel so be lost in the moment Lost, lost in the moment Lost in the moment, lost in the moment And get lost, lost in the moment Lost in the moment, lost in the moment Yeah, they told us that time flies, didn't know what it means Now I feel like we just running around tryna Catch it and hoping to cut up its wings But that ain't gon' happen Joy, when was the last time we had it? I don't remember 'cause all that we do Is go backwards but that's what you get When you live in the past And I know we breathing but we not alive Really, is this the way we wanna die? 'Til you got everything bottled inside If only they knew what goes on in our minds I know what you thinking so don't try to hide Why do you look at me like you surprised? If you really mean what you write in these lines Why don't you fix it? 'Cause I'm getting tired Yeah, I can no longer do this Ever since you fell in love with the music See, you find a way to express what you feel But the moment that you get away from the mic You don't know what you doing Is it clear to you yet? I don't know what's going on in your head But eventually, you'll have to deal with the things That you talk about yeah, but I guess until then, we're lost Lost, lost in the moment Lost in the moment, lost in the moment And get lost, lost in the moment Lost in the moment, lost in the moment Yeah, oh oh oh, yeah, oh lost Oh, yeah, oh, no no This may be the last sunset I'll see I'll take it in, I'll take it in This may be the last day that I'll breathe I'll breathe it in, I'll breathe it in"
17,"I've been running from the shadows I've been hiding from the light I've been winning all my battles But I'm losing in the fight

I've been looking for an answer I've been searching for a clue But I never find what I am after Unless I'm looking at you

'Cause it's only when it's you That the world makes sense to me Yeah, it's only when it's you That I feel like I can breathe I can travel round the world I can sail the seven seas But it's only when it's you That I'm exactly where I'm meant to be

Yeah, it's only when it's you Yeah, it's only when it's you

I don't need a million dollars I don't need a diamond ring I don't need to be a scholar To know the value of a thing

I can have the finest treasures I can have the crown of kings But it doesn't give me pleasure It doesn't mean a thing

'Cause it's only when it's you That the world makes sense to me Yeah, it's only when it's you That I feel like I can breathe I can travel round the world I can sail the seven seas But it's only when it's you That I'm exactly where I'm meant to be

Yeah, it's only when it's you Yeah, it's only when it's you

(Only when it's you) (Only when it's you)

'Cause it's only when it's you That the world makes sense to me Yeah, it's only when it's you That I feel like I can breathe"
18,"I kinda wanna throw my phone across the room 'Cause all I see are girls too good to be true With paper-white teeth and perfect bodies Wish I didn't care I know their beauty's not my lack But it feels like that weight is on my back And I can't let it go Co-comparison is killin' me slowly I think I think too much 'Bout kids who don't know me I'm so sick of myself I'd rather be, rather be Anyone, anyone else My jealousy, jealousy Started following me (he-he-he, he-he) Started following me (he-he-he, he-he) And I see everyone getting all the things I want And I'm happy for them, but then again, I'm not Just cool vintage clothes and vacation photos I can't stand it, oh, God, I sound crazy Their win is not my loss I know it's true But I can't help getting caught up in it all Co-co-comparison is killin' me slowly I think I think too much 'Bout kids who don't know me I'm so sick of myself I'd rather be, rather be Anyone, anyone else My jealousy, jealousy (yeah) All your friends are so cool, you go out every night In your daddy's nice car, yeah, you're living the life Got a pretty face, a pretty boyfriend too I wanna be you so bad and I don't even know you All I see is what I should be Happier, prettier, jealousy, jealousy All I see is what I should be I'm losing it, all I get's jealousy, jealousy Co-comparison is killing me slowly I think I think too much 'Bout kids who don't know me And I'm so sick of myself I'd rather be, rather be (oh, oh) Anyone, anyone else (anybody else) Jealousy, jealousy Oh, I'm so sick of myself I'd rather be, rather be (oh-oh) Anyone, anyone else Jealousy, jealousy Started following me"
19,"Hate to give the satisfaction asking how you're doing now How's the castle built off people you pretend to care about? Just what you wanted Look at you, cool guy, you got it I see the parties and the diamonds sometimes when I close my eyes Six months of torture you sold as some forbidden paradise I loved you truly You gotta laugh at the stupidity 'Cause I've made some real big mistakes But you make the worst one look fine I should've known it was strange You only come out at night I used to think I was smart But you made me look so naÃ¯ve The way you sold me for parts As you sunk your teeth into me, oh Bloodsucker, famefucker Bleeding me dry like a goddamn vampire And every girl I ever talked to told me you were bad, bad news You called them crazy, God, I hate the way I called them crazy too You're so convincing How do you lie without flinching? (How do you lie? How do you lie? How do you lie?) Oh, what a mesmerizing, paralyzing, fucked up little thrill Can't figure out just how you do it and God knows I never will Went for me and not her 'Cause girls your age know better I've made some real big mistakes But you make the worst one look fine I should've known it was strange You only come out at night I used to think I was smart But you made me look so naÃ¯ve The way you sold me for parts As you sunk your teeth into me, oh Bloodsucker, famefucker Bleeding me dry like a goddamn vampire You said it was true love, but wouldn't that be hard? You can't love anyone, 'cause that would mean you had a heart I tried to help you out, now I know that I can't 'Cause how you think's the kind of thing I'll never understand I've made some real big mistakes But you make the worst one look fine I should've known it was strange You only come out at night I used to think I was smart But you made me look so naÃ¯ve The way you sold me for parts As you sunk your teeth into me, oh Bloodsucker, famefucker Bleeding me dry like a goddamn vampire"
20,"All this time I was wasting Hoping you would come around I've been giving out chances every time And all you do is let me down And it's taken me this long Baby but I figured you out And you're thinking we'll be fine again But not this time around

You don't have to call anymore I won't pick up the phone This is the last straw Don't wanna hurt anymore And you can tell me that you're sorry But I don't believe you baby Like I did before You're not sorry, no, no, no, no

You are looking so innocent I might believe you if I didn't know Could've loved you all my life If you hadn't left me waiting in the cold And you got your share of secrets And I'm tired of being last to know And now you're asking me to listen 'Cause it's worked each time before

But you don't have to call anymore I won't pick up the phone This is the last straw Don't wanna hurt anymore And you can tell me that you're sorry But I don't believe you baby Like I did before You're not sorry, no, no, no, no

You're not sorry, no, no, no, no

You had me crawling for you honey And it never would've gone away, no You used to shine so bright But I watched all of it fade

So you don't have to call anymore I won't pick up the phone This is the last straw There's nothing left to beg for And you can tell me that you're sorry But I don't believe you baby Like I did before You're not sorry, no, no, no, no

You're not sorry, no, no, no, no No, no, no, no No, no, no, no"
21,"I said I wanted Thin Mints and you said you knew a guy You showed up with a boombox and stars in your eyes Who knew cuddling on trampolines could be so reckless We bonded over Black Eyed Peas and complicated exes Fell so deeply into it It was all so innocent Now I'm a homewrecker, I'm a slut I got death threats filling up semi-trucks Tell me who I am, guess I don't have a choice All because I liked I'm a hot topic on your tongue I'm a rebound gettin' 'round, stealin' from the young Tell me who I am, guess I don't have a choice All because I liked a boy I'm not catastrophizing Everything's derailing Was only tryna hold you close While your heart was failing It's not internet illusions Just two kids going through it You said I'm too late to be your first love But I'll always be your favorite Now I'm a homewrecker, I'm a slut I got death threats filling up semi-trucks Tell me who I am, guess I don't have a choice All because I liked I'm a hot topic on your tongue I'm a rebound gettin' 'round, stealin' from the young Tell me who I am, guess I don't have a choice All because I liked a boy All because I liked a boy Fell so deeply into it It was all so innocent Dating boys with exes No, I wouldn't recommend it I'm a homewrecker, I'm a slut I got death threats filling up semi-trucks Tell me who I am, guess I don't have a choice All because I liked a boy And all of this for what? When everything went down, we'd already broken up Please, tell me who I am, guess I don't have a choice All because I liked a boy A boy, a boy All because I liked a boy"
22,"I've got a bad taste in my mouth From all the words I can't spit out And I've been choking on the doubt That I'm never gonna make it out

I see the patterns in my blood Like a disease I can't outrun Is this who I'm supposed to be? Or is it just hereditary?

(Oh, oh) Is it just hereditary? (Oh, oh)

I built these walls to keep me safe But now they're standing in my way I'm haunted by the ghost of yesterday And I can't seem to break away

It's in my veins, it's in my soul A broken part I can't control I try to hide, I try to fight But it keeps me up at night

I see the patterns in my blood Like a disease I can't outrun Is this who I'm supposed to be? Or is it just hereditary?

(Oh, oh) Is it just hereditary? (Oh, oh)

Maybe I'm destined to fall apart Maybe it's written in the stars Or maybe I can change the end And learn to start again

I see the patterns in my blood Like a disease I can't outrun Is this who I'm supposed to be? Or is it just hereditary?

(Oh, oh) Is it just hereditary? (Oh, oh) Is it just hereditary?"
23,"I tried my best to say That it wasn't my fault But I will make mistakes And I will always fall down And blame myself For when there's no one around to Save me From falling down

I fucking hate myself because of you! And there was nothing else that I could do I tried to see What's good in you But I can't see what's good in myself

A hypocrite! A piece of shit! A fucking liar! That's all I am! Just pull the pin! And I can see How you could... Never forgive me!

I severed all our ties So you don't have to watch me die This hurts me more than it hurts you I never liked to face the truth But I can't just go and pretend it'll be okay 'Cause it's not okay! (No, I'm not okay!)

Filled with regret! I'm so ashamed! The way I looked at you! In all of your pain! When I was afraid! Of who you'd become! You showed your true colors! And I had to run away!

I hope it hurts to know! But I'm always on the go And it's better this way So leave me the way

This hurts me more than it hurts you I never liked to face the truth But I can't just go and pretend it'll be okay 'Cause it's not okay! (No, I'm not okay!)

We have all failed as God's creation And I am haunted by my mistakes Do not pity me for I am a broken shell But how could you blame me for trying to protect myself? I was only afraid!

I always win the game of losing people that I love And I feel like I'm the best at fucking everything up And I'm so sorry! But I know that you will never forgive me And that's okay

I never thought my heart could ever be so fucking numb And all I wanted was someone to show me that I'm loved But even that seems so... far away! (Far away!)

I made mistakes Every day I'm so ashamed Wish that I could take it back But this poison is incurable I have spent my life trying to make everything right I forget about myself Did I give for nothing's love? Oh!

My guilt is violently killing me! My guilt is violently killing me! My guilt is violently killing me! My guilt! My guilt! My guilt is fucking killing me!"
24,"We've been chasing ghosts In the dark You said love's not easy I know that part But even when the light fades out Of view I don't want to give up Not as long as it's you

You're the quiet in my chaos, the ache that feels right (The ache that feels right) Even when we're breaking I'll hold onto tight I don't want to give up as long as it's you Each wound that we've been through I'd fight the storm if it's you

If all that fades I'll stay the same and scream Your name through rain Won't give up, not as long as it's you Just hope you feel it too

Some nights feel stranger Lost in the haze Some days love feels too heavy to save But even when the pain floods Me and you I don't want to give up Not as long as it's you

I've seen the end, I felt the fall But your name still burns beneath it all I don't want to give up As long as it's you, each wound that we've been through I'd fight the storm if it's you

If all that fades, I'll stay the same and scream Your name through rain Won't give up, not as long as it's you Just hope you feel it too

If it all burns down I'll stay in the fire 'Cause loving you is the only thing I desire Even if the stars stop shining through I'll still choose this life with you

I don't want to give up as long as it's you Each wound that we've been through I'd fight the storm if it's you If all that fades, I'll stay the same and scream Your name through rain Won't give up, not as long as it's you Just hope you feel it too"
25,"Hmm-hmm-hmm, oh
That's how life goes
Yeah, that's how life goes
Yeah, the more quiet the night, the louder my thoughts
On my hand I tatted a cross
I find God whenever I'm lost
I humble myself, he's the one I'll call
If you see me defeated, just know that I fought
There's a reason they need me to be in the dark
My potential broke levels that no body saw
I'm special, won't settle for less I'm a star
Whoa, I'm not the typical rapper
The message in my music actually matters
My music will live after I'm in a casket
I'm never gon' quit 'til I'm movin' the masses
Imagine a life where I lacked all my passion
And never poured my heart and soul into rappin'
I'd be miserable wondering what would happen
If I wouldn't chase my dream, that thought does damage, it's funny
Kids from high school who kept dissing
All work at McDonald's, I'll take a McChicken
Can't expect the blind to ever see your vision
You peaked in high school, now you hate that I'm winning
I'm grinning, this isn't me bragging or gloating
This is a reminder, my drive hasn't broken
Devoted still going even at my lowest
Opponents stay hoping I'll fail when I'm chosen
These moments I'm livin' are real, they don't care how I feel
I got wounds that don't heal and I need love still
Why you runnin' for the hills? You won't answer me, I get it
Let's be honest, I am gifted, I know when energy's shifting
I know when you're acting different, I know you think I don't listen
I know you think I'm too driven, but that's somethin' that you should know
A mediocre life's a joke, I'd rather have family close
I'd rather be inside a home, I'd rather have someone to hold
I'd rather smile when I'm old, if I have that, but I'm broke
Then tell me who's really broke?
While I'm absent, I've grown
But now I'm comin' for the throne (throne)
Spent so many nights feelin' like I'm inadequate
Letting my mind tell me I should be sad again
Despite my life going right, I felt stagnant
Realized the time passing by can't be had again
So I got up and my drive was my catalyst
Manifested the life I've been imagining
I put the time in, this isn't an accident
The rise of me, yo, I'm feelin' immaculate
Haven't been home, I been in my mind
Don't you know we're just a matter of time
One minute you're livin', the next one you die
There's some things that money simply can't buy
See you may have eyes but you can not see
You live in a box so you are not free
Life's a gift from God that you can not keep
Going against the odds, the best way to think
Believing in me is all I can do
Surrounded by haters doubters and fools
Who will come around when I got the jewels
They're here when I win but bail when I lose
It's funny how money makes change out of people
And paper dictates who's unworthy or equal
In my eyes, that's the definition of evil
When materials is the only way to see you
I need you to hear me and take this to heart
You are the reason, you are where you are
Awaken your mind and follow the stars
One day they'll align and take you afar
I know life is hard, the pressure is heavy
When nobody knows that you're feelin' unsteady
But still have to show up and feelin' so empty
You're never rewarded, there's never confetti
There's envy and anger, never been stranger
To a life where it feels like your being anchored
Livin' inside of your mind feelin' dangerous
Watchin' 'em fall, but you can not save 'em
You can't save yourself, you're livin' in hell
The smile on your face makes it hard to tell
And there's no one who could help
The lonely journey to yourself"
